Score;Max Tile;Avg Move Time;Run Time
920;64;0;0,3879925
772;64;0;0,3535099
1432;128;0;0,5240426
912;64;0;0,4109747
1432;128;0;0,5447153
1440;128;0;0,5292909
1632;128;0;0,6686552
668;64;0;0,3151741
1080;128;0;0,446719
1164;128;0;0,4456269
2764;256;0;0,7765002
1284;128;0;0,4145813
2828;256;0;0,8700648
556;64;0;0,2413911
1024;128;0;0,4001587
756;64;0;0,5696147
1212;128;0;0,4968212
1564;128;0;0,6220682
1140;128;0;0,4313363
732;64;0;0,3398585
3660;256;0;0,990269
580;64;0;0,2622459
1476;128;0;0,5315018
628;64;0;0,2889712
900;64;0;0,3875558
700;64;0;0,3742161
2200;256;0;0,806083
1420;128;0;0,6549676
916;64;0;0,4138935
720;64;0;0,4242957
1240;128;0;0,4567855
1356;128;0;0,4813945
1496;128;0;0,5592841
1352;128;0;0,5401898
2072;256;0;0,6595741
624;64;0;0,3845342
1316;128;0;0,5159846
1704;128;0;0,6748667
772;64;0;0,3419082
1184;128;0;0,4384243
704;64;0;0,2879321
988;128;0;0,3565307
440;64;0;0,2193197
612;64;0;0,2817145
968;64;0;0,3947974
2840;256;0;0,8304673
1368;128;0;0,5157829
1728;128;0;0,6787473
360;32;0;0,221346
736;64;0;0,3829385
1532;128;0;0,5437051
1340;128;0;0,5300504
320;32;0;0,198272
320;32;0;0,1997185
456;32;0;0,2445201
908;64;0;0,3671104
700;64;0;0,3325229
1408;128;0;0,6233402
2408;256;0;0,8889951
1180;128;0;0,4572574
720;64;0;0,4002303
608;64;0;0,2953967
2344;256;0;0,6660349
1576;128;0;0,5723329
1824;128;0;0,5851121
472;64;0;0,2378842
1304;128;0;0,4915538
1556;128;0;0,5422065
868;128;0;0,301018
2060;128;0;0,6766661
848;64;0;0,3332058
1304;128;0;0,4654349
2268;256;0;0,6369356
156;16;0;0,1799629
1096;128;0;0,5143891
696;64;0;0,4739027
1060;128;0;0,4868297
2296;256;0;0,7114665
1312;128;0;0,4912922
604;64;0;0,3228545
512;64;0;0,2703246
1088;128;0;0,4162966
788;64;0;0,4030437
528;64;0;0,321201
1408;128;0;0,6002993
1560;128;0;0,5490136
1452;128;0;0,5179856
1212;128;0;0,4504156
624;64;0;0,2916071
1604;128;0;0,6473285
1208;128;0;0,419834
808;64;0;0,3884791
1556;128;0;0,5862839
1500;128;0;0,5270759
736;64;0;0,3355676
2204;256;0;0,7228184
1124;128;0;0,4682435
584;64;0;0,3068931
1144;128;0;0,4674397
500;64;0;0,262837
908;64;0;0,390655
1048;128;0;0,3811071
2740;256;0;0,8271384
820;64;0;0,387871
1420;128;0;0,5260561
1328;128;0;0,4979984
284;32;0;0,2355696
1404;128;0;0,4715205
1256;128;0;0,4829232
2932;256;0;1,127177
1060;128;0;0,4465983
1368;128;0;0,5061574
752;64;0;0,317862
1412;128;0;0,532154
1648;128;0;0,5771639
1324;128;0;0,5460924
1036;128;0;0,4517512
1248;128;0;0,4997472
1356;128;0;0,4934001
680;64;0;0,3074636
1564;128;0;0,5716721
1728;128;0;0,6265975
1340;128;0;0,4910691
1000;128;0;0,4119347
1380;128;0;0,5046897
688;64;0;0,3194333
932;64;0;0,3729625
1356;128;0;0,5050951
1084;128;0;0,384448
676;64;0;0,3086666
1356;128;0;0,4663781
676;64;0;0,306422
1200;128;0;0,4389753
